step,plane,m2l_count_ms,insert_ms,total_ms
0,3,12.412644,0.696448,13.554532000000002
0,2,4.992737,0.66208,6.089409000000001
0,1,17.235301,1.251233,18.93863
0,0,48.843278,2.83792,52.578288
1,3,12.507972,0.700896,13.639492
1,2,5.023362,0.665824,6.131682
1,1,17.347365,1.256737,19.066406000000004
1,0,49.128046000000005,2.855585,52.880784
2,3,12.531683999999998,0.7002240000000001,13.6753
2,2,5.024226,0.6649919999999999,6.125058
2,1,17.333637,1.253088,19.04039
2,0,49.106062,2.853217,52.85713499999999
3,3,12.4905,0.700896,13.621827999999999
3,2,5.020994,0.665408,6.126338
3,1,17.348037,1.258113,19.064678
3,0,49.082222,2.852769,52.847535
4,3,12.490371,0.700385,13.6313
4,2,5.0189129999999995,0.6662720000000001,6.120865
4,1,17.343365000000002,1.256192,19.05415
4,0,49.12826999999999,2.857697,52.883119
5,3,12.549411,0.70016,13.68077
5,2,5.016001,0.66624,6.126273
5,1,17.357413,1.256256,19.072485
5,0,49.096559,2.8544650000000003,52.86366400000001
6,3,12.523588,0.700864,13.661508
6,2,5.01261,0.66592,6.1139529999999995
6,1,17.330085,1.255425,19.038438
6,0,49.11643,2.856801,52.871601000000005
7,3,12.507332,0.7001280000000001,13.638276
7,2,5.009442,0.665664,6.110722
7,1,17.320869,1.259233,19.03783
7,0,49.123598,2.85424,52.889966
8,3,12.50378,0.701024,13.639524000000002
8,2,5.0072659999999996,0.6655679999999999,6.109185999999999
8,1,17.332708999999998,1.257921,19.044005
8,0,49.11979,2.852417,52.868975
9,3,12.526627000000001,0.700001,13.657252
9,2,5.012386,0.666048,6.114626
9,1,17.327589,1.255328,19.041445
9,0,49.11467,2.8547849999999997,52.878671
