step,plane,m2l_count_ms,insert_ms,total_ms
0,3,12.249855,0.64355,12.938236999999999
0,2,4.827987,0.643263,5.5230250000000005
0,1,16.563762,1.180573,17.795983
0,0,47.024,2.6325369999999997,49.70863299999999
1,3,12.246879000000002,0.649054,15.782005000000002
1,2,4.83733,0.6448630000000001,6.6848469999999995
1,1,16.577555,1.180572,19.172461
1,0,47.039072,2.6357049999999997,52.14565
2,3,12.251614,0.6480309999999999,15.788277
2,2,4.827251,0.6438379999999999,6.66507
2,1,16.538194999999998,1.180093,19.13742
2,0,47.037824,2.632664,52.14693
3,3,12.192319,0.648351,15.727894000000001
3,2,4.829841999999999,0.64435,6.678094
3,1,16.577203,1.181085,19.182890000000004
3,0,47.049983999999995,2.6350010000000004,52.166962999999996
4,3,12.255870999999999,0.654334,15.79599
4,2,4.827890999999999,0.643774,6.672686
4,1,16.564083,1.1820119999999998,19.188426
4,0,47.0696,2.634681,52.172112999999996
5,3,12.252575,0.6496620000000001,15.795126
5,2,4.829331,0.644478,6.678094
5,1,16.566739000000002,1.180476,19.172459000000003
5,0,47.048864,2.634233,52.15813000000001
6,3,12.217726,0.646654,15.736597
6,2,4.833043,0.644062,6.678382
6,1,16.566291,1.179261,19.186348000000002
6,0,47.049857,2.630297,52.150800000000004
7,3,12.291229999999999,0.649278,15.812948999999998
7,2,4.830546999999999,0.643678,6.6778379999999995
7,1,16.598963,1.180125,19.1891
7,0,47.08992,2.634777,52.198739
8,3,12.196191,0.642879,15.718905000000001
8,2,4.837011,0.6442859999999999,6.675502000000001
8,1,16.581587,1.1808610000000002,19.180332
8,0,47.027423999999996,2.631417,52.140305999999995
9,3,12.216318,0.648383,15.720536
9,2,4.839603,0.645182,6.692462000000001
9,1,16.573843,1.1817570000000002,19.165228
9,0,47.07936,2.6331770000000003,52.19781
