step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,interaction_sum_ms,gpu_total_ms,other_gpu_ms,host_gaps_ms
0,61.845752,2.815544,13.73289,6.070511000000001,15.910418,12.501952000000001,51.031315000000006,59.695449999999994,8.664134999999987,2.1503020000000035
1,61.216031,3.92335,14.418871999999999,5.5924629999999995,14.612246,11.831615,50.378546,58.714907999999994,8.336361999999994,2.501123000000007
2,60.235035,2.812728,14.565623,5.211952,15.911796999999998,12.531932000000001,51.034032,58.872893,7.838860999999994,1.3621420000000057
3,61.053373,2.81756,13.766393,6.074127000000001,15.757075,11.651392000000001,50.066547,59.650135999999996,9.583588999999996,1.4032370000000043
4,61.4373,3.246775,14.600311000000001,5.244209,15.469237,12.087485,50.648016999999996,60.159706,9.511689000000004,1.2775940000000006
5,60.166547,2.816185,14.562617,5.211024999999999,15.912597,12.346846,50.84927,58.662559,7.813289000000005,1.5039879999999997
6,61.227553,2.81772,13.312349,6.071025,15.887124,11.682336,49.770554,59.649214,9.878660000000004,1.5783389999999997
7,61.514917000000004,3.248567,14.557239,5.208146,15.471637000000001,12.099099999999998,50.584689,60.134295,9.549606000000004,1.3806220000000025
8,60.019949000000004,2.815736,14.596088,5.216400999999999,15.739732,12.420189999999998,50.788146999999995,58.687611,7.899464000000002,1.3323380000000071
9,61.45455200000001,2.8148090000000003,13.946969999999999,6.328239,15.821844,11.698846,50.610708,60.115963,9.505254999999998,1.338589000000006
