step,plane,m2l_count_ms,insert_ms,total_ms
0,3,12.201758,0.687038,13.73289
0,2,5.025042,0.611294,6.070511000000001
0,1,14.46572,0.992446,15.910418
0,0,9.997477,0.7764460000000001,12.501952000000001
1,3,13.302267,0.68675,14.418871999999999
1,2,4.543188,0.611422,5.5924629999999995
1,1,13.163867,0.992381,14.612246
1,0,10.156835,0.775134,11.831615
2,3,13.449466000000001,0.687006,14.565623
2,2,4.16754,0.6105259999999999,5.211952
2,1,14.466488,0.993918,15.911796999999998
2,0,10.858722,0.774941,12.531932000000001
3,3,12.176254,0.686366,13.766393
3,2,5.02837,0.61107,6.074127000000001
3,1,14.312376,0.9926050000000001,15.757075
3,0,9.570245000000002,0.775102,11.651392000000001
4,3,13.483834,0.686558,14.600311000000001
4,2,4.16066,0.610462,5.244209
4,1,14.026489,0.991326,15.469237
4,0,10.412450999999999,0.776381,12.087485
5,3,13.447035,0.687359,14.562617
5,2,4.165556,0.611358,5.211024999999999
5,1,14.464407999999999,0.99427,15.912597
5,0,10.672642,0.77571,12.346846
6,3,12.188543,0.6874539999999999,13.312349
6,2,5.025362,0.610015,6.071025
6,1,14.443672000000001,0.992381,15.887124
6,0,9.560069,0.7751979999999999,11.682336
7,3,13.440955,0.687102,14.557239
7,2,4.162933,0.6101749999999999,5.208146
7,1,14.023385000000001,0.994365,15.471637000000001
7,0,10.423907,0.777086,12.099099999999998
8,3,13.479130999999999,0.687295,14.596088
8,2,4.171412,0.6111660000000001,5.216400999999999
8,1,14.296567999999999,0.991101,15.739732
8,0,10.747746,0.774686,12.420189999999998
9,3,12.831741,0.685918,13.946969999999999
9,2,5.281906,0.611327,6.328239
9,1,14.376664,0.9945890000000001,15.821844
9,0,9.571237,0.776062,11.698846
