step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,interaction_sum_ms,gpu_total_ms,other_gpu_ms,host_gaps_ms
0,48.313732,2.9139250000000003,13.637848,4.824649,8.492782,8.547663,38.416866999999996,46.416209,7.999342000000006,1.8975229999999996
1,47.779542,2.913189,13.676408000000002,4.813833,8.469871,8.548527,38.421828000000005,46.373968999999995,7.95214099999999,1.405573000000004
2,47.664996,2.914085,13.627609,4.835946,8.470733000000001,8.557934999999999,38.406307999999996,46.369173,7.962865000000008,1.2958229999999986
3,47.74203,2.9121010000000003,13.644504000000001,4.827208,8.467630000000002,8.551501,38.402944000000005,46.394704,7.991759999999992,1.3473260000000025
4,47.686155,2.912997,13.603862999999999,4.8144409999999995,8.470735000000001,8.556334999999999,38.358371,46.286608,7.928237000000003,1.3995469999999983
5,47.726132,2.914373,13.735193,4.812968,8.481774,8.542543,38.486851,46.409172,7.922320999999997,1.3169600000000017
6,47.689811999999996,2.9160369999999998,13.645336,4.808713,8.485488,8.544911,38.400485,46.342673000000005,7.942188000000002,1.3471389999999914
7,47.614961,2.915333,13.638425,4.816934,8.473871,8.541326,38.385889,46.329455,7.943566000000004,1.285505999999998
8,47.687998,2.909829,13.647960000000001,4.821992,8.480782999999999,8.541872,38.402436,46.364277,7.961841,1.323720999999999
9,47.707165,2.912133,13.622264000000001,4.845066,8.465905999999999,8.549166999999999,38.394535999999995,46.329012999999996,7.934477000000001,1.3781520000000071
