step,plane,m2l_count_ms,insert_ms,total_ms
0,3,12.500214,0.6996169999999999,13.637848
0,2,3.795431,0.594657,4.824649
0,1,7.283085,0.7290570000000001,8.492782
0,0,7.092428,0.555425,8.547663
1,3,12.54111,0.700225,13.676408000000002
1,2,3.783495,0.5952329999999999,4.813833
1,1,7.2846210000000005,0.7315539999999999,8.469871
1,0,7.093356,0.555553,8.548527
2,3,12.495669,0.700706,13.627609
2,2,3.7960059999999998,0.595298,4.835946
2,1,7.287564000000001,0.730241,8.470733000000001
2,0,7.090988,0.555649,8.557934999999999
3,3,12.515286,0.699553,13.644504000000001
3,2,3.789127,0.5957129999999999,4.827208
3,1,7.284077,0.730785,8.467630000000002
3,0,7.0894520000000005,0.555169,8.551501
4,3,12.472213,0.700449,13.603862999999999
4,2,3.781926,0.595426,4.8144409999999995
4,1,7.286765,0.730402,8.470735000000001
4,0,7.092972,0.555937,8.556334999999999
5,3,12.603414,0.700353,13.735193
5,2,3.782311,0.594817,4.812968
5,1,7.297613,0.7294729999999999,8.481774
5,0,7.0901570000000005,0.555713,8.542543
6,3,12.514646,0.700225,13.645336
6,2,3.777895,0.5952970000000001,4.808713
6,1,7.2978689999999995,0.729505,8.485488
6,0,7.0910519999999995,0.555233,8.544911
7,3,12.500982,0.700098,13.638425
7,2,3.784838,0.595136,4.816934
7,1,7.2855810000000005,0.730369,8.473871
7,0,7.0875,0.555265,8.541326
8,3,12.510038,0.700481,13.647960000000001
8,2,3.790567,0.595585,4.821992
8,1,7.297933,0.7295689999999999,8.480782999999999
8,0,7.089228,0.555041,8.541872
9,3,12.492022,0.700001,13.622264000000001
9,2,3.7990790000000003,0.5956180000000001,4.845066
9,1,7.284141,0.729313,8.465905999999999
9,0,7.094316,0.5550729999999999,8.549166999999999
