step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,interaction_sum_ms,gpu_total_ms,other_gpu_ms,host_gaps_ms
0,134.75664,34.590888,12.978824,5.696839,17.759921,52.695001000000005,123.721473,132.851576,9.130102999999991,1.90506400000001
1,135.11650899999998,34.589897,12.955112999999999,5.692263,17.769267,52.700409,123.70694900000001,132.78633100000002,9.07938200000001,2.330177999999961
2,134.210516,34.593832,12.958119,5.694248000000001,17.765523,52.721112,123.732834,132.831899,9.099064999999996,1.3786170000000197
3,134.18217199999998,34.593544,12.976683000000001,5.701702,17.748945,52.693752999999994,123.71462700000001,132.815676,9.101048999999989,1.3664959999999837
4,134.11174,34.593064,12.939174,5.691847000000001,17.745585,52.696217,123.665887,132.756634,9.090746999999993,1.3551060000000064
5,134.152906,34.593095999999996,12.946952000000001,5.689671000000001,17.745844,52.72140100000001,123.69696400000001,132.76111799999998,9.064153999999974,1.3917880000000196
6,134.222028,34.593512000000004,12.969541999999999,5.696839,17.762129,52.707545,123.729567,132.831513,9.101945999999998,1.3905149999999935
7,134.48733,34.59085700000001,13.002375,5.696903,17.740436,52.726393,123.75696400000001,132.86873200000002,9.111768000000026,1.6185979999999631
8,134.13926,34.590697,12.968904,5.693063,17.749650999999997,52.715609,123.71792400000001,132.80920999999998,9.091285999999968,1.3300500000000284
9,134.122119,34.589033,13.000742,5.6930950000000005,17.748083,52.681114,123.712067,132.760794,9.048727,1.3613249999999937
