name,ra,rp,ratio,T,vt,family,method,denom,h,e_phase,energy_max,energy_final,L_max,pericentre_error,apocentre_error,angular_phase_error
ra0.05_q1,0.05,0.05,1.0,1.4752110935185525,0.21295885499997996,circular,KDK,4,0.3688027733796381,1.6122995967498521,0.016482209111286693,0.000107638194586423,1.6291630380685229e-15,0.0,0.5891504521037335,-5.054633008118664
ra0.1_q1,0.1,0.1,1.0,2.1856094184751425,0.28747978728803447,circular,KDK,4,0.5464023546187856,2.1435969156343515,0.15886473515211652,0.15886473515211652,1.4482188057878893e-15,-0.1557136149589032,2.5058710258323758,-12.263682977065343
ra0.3_q1,0.3,0.3,1.0,4.473875023445472,0.4213250442347431,circular,KDK,4,1.118468755861368,3.82734337064578,0.5074910051985773,0.24060846394986413,4.3917914043525304e-16,-0.1429774315882737,4.812634629974733,-27.34852917660246
ra1_q1,1.0,1.0,1.0,12.566370614359172,0.5,circular,KDK,4,3.141592653589793,2.7545291508765124,0.7678904254878058,0.3023363226176179,4.440892098500626e-16,-0.10378950144718246,6.704554120569574,-39.566659134396815
ra3_q1,3.0,3.0,1.0,43.531184741621225,0.43301270189221935,circular,KDK,4,10.882796185405306,65.39561876375195,1.9907287525215573,1.8756936977855019,1.401626135852909e-14,-0.029686684281383584,65.22732085448753,-55.98036216784166
ra10_q1,10.0,10.0,1.0,218.56094184751421,0.28747978728803447,circular,KDK,4,54.640235461878554,3.921206209525932,0.7307323298679141,0.5133366464202969,4.634300178521245e-16,-0.0006417849803536768,3.690028335097093,-45.654075094364686
ra0.1_q0.5,0.1,0.05,0.5,1.1061450642821737,0.16988239714587516,moderate,KDK,4,0.27653626607054344,0.3056464590812792,0.014321145041514242,0.014321145041514242,4.0845278972305273e-16,0.15464290777833026,0.1810077674692885,0.18220619793615356
ra0.1_q0.2,0.1,0.020000000000000004,0.2,1.005453905542719,0.07708288167714672,moderate,KDK,4,0.25136347638567974,2.1598945398756992,0.1832509825351704,0.17473756304253119,1.2377558947307903e-15,-0.24929130790628393,2.4287409814360097,-11.137310713576692
ra0.1_q0.05,0.1,0.005000000000000001,0.05,0.9725683631518718,0.020754438065228763,strong,KDK,4,0.24314209078796795,2.354550103278382,0.1436817718057039,0.10386968053306364,3.7612464463559485e-15,0.18849063564982718,1.8017363525346899,-8.832988325396649
ra1_q0.5,1.0,0.5,0.5,6.59182096351981,0.3333333333333333,moderate,KDK,4,1.6479552408799525,2.32522145989449,0.088385916298428,0.02327061630717811,4.996003610813204e-16,0.19350025144138527,0.22854057950723528,-2.5481181248816682
