name,family,epsilon,h2,h4,timestep_gain,R_cost,speedup
ra0.05_q1,circular,0.001,0.010749443939946663,0.10135584756230032,9.428938662180068,3.0241640157378535,3.1178661650332278
ra0.1_q0.05,strong,0.001,0.00912002165043961,0.014273173485169075,1.5650372369983432,3.0241640157378535,0.5175107000988821
ra0.1_q0.2,moderate,0.001,0.01051605321755774,0.0483126682858623,4.59418255940345,3.0241640157378535,1.5191578682555462
ra0.1_q0.5,moderate,0.001,0.013015038051843383,0.11316837364482354,8.695201135335518,3.0241640157378535,2.875241253478777
ra0.1_q1,circular,0.001,0.01095144646311683,0.13999819337439356,12.783534471532217,3.0241640157378535,4.227130011800373
ra0.3_q1,circular,0.001,0.013653391384290763,0.23231715931445715,17.01534459649016,3.0241640157378535,5.6264622249129745
ra10_q0.05,strong,0.001,0.07024305996129815,0.3642459282680024,5.1855076995320415,3.0241640157378535,1.7146912907324077
ra10_q0.2,moderate,0.001,0.11537788325958524,1.3783700393409377,11.946570697954167,3.0241640157378535,3.9503712879935753
ra10_q0.5,moderate,0.001,0.19969653177414518,3.309837399872785,16.574335920947185,3.0241640157378535,5.480633932119346
ra10_q1,circular,0.001,0.22904241811465303,5.7419051634765035,25.06917806204022,3.0241640157378535,8.289622497847125
ra1_q0.05,strong,0.001,0.04341031243822756,0.05538839531806094,1.2759271289944774,3.0241640157378535,0.4219106908072805
ra1_q0.2,moderate,0.001,0.0675594168052541,0.19656081716084334,2.90945106479304,3.0241640157378535,0.9620678804628838
ra1_q0.5,moderate,0.001,0.045721179974748685,0.41944202252477325,9.173910707388274,3.0241640157378535,3.0335360977932835
ra1_q1,circular,0.001,0.02339454483377877,0.4799063021953904,20.51359860194699,3.0241640157378535,6.783229512418479
ra3_q1,circular,0.001,0.057394178951061144,1.3204894854534621,23.007376524706743,3.0241640157378535,7.607846798313704
ra0.05_q1,circular,0.0010592537251772887,0.011062734284945848,0.10281695649635988,9.29399132692476,3.0241640157378535,3.0732431437443566
ra0.1_q0.05,strong,0.0010592537251772887,0.00928593204387935,0.014397274514968804,1.5504393578303752,3.0241640157378535,0.5126836209153457
ra0.1_q0.2,moderate,0.0010592537251772887,0.010823365931147178,0.04870416720353291,4.49990950258583,3.0241640157378535,1.487984606379861
ra0.1_q0.5,moderate,0.0010592537251772887,0.01339528024262396,0.11419330912615586,8.524891383966064,3.0241640157378535,2.8189249457378094
ra0.1_q1,circular,0.0010592537251772887,0.011271066671703809,0.142018130766287,12.600238726546243,3.0241640157378535,4.166519626903225
ra0.3_q1,circular,0.0010592537251772887,0.014052016099179263,0.23568250268483643,16.772148638415093,3.0241640157378535,5.546044642794588
ra10_q0.05,strong,0.0010592537251772887,0.07229093114667047,0.36709707697177846,5.078051577824862,3.0241640157378535,1.6791587861632196
ra10_q0.2,moderate,0.0010592537251772887,0.11874698560561384,1.398101204895587,11.77378270080054,3.0241640157378535,3.8932354989773605
ra10_q0.5,moderate,0.0010592537251772887,0.20552812883390204,3.3579104217720803,16.33796036009155,3.0241640157378535,5.402471650038901
ra10_q1,circular,0.0010592537251772887,0.23573066045339366,5.825306433681244,24.711704546524047,3.0241640157378535,8.171416767716131
ra1_q0.05,strong,0.0010592537251772887,0.043630399854863104,0.05597069951468062,1.2828371892274109,3.0241640157378535,0.4241956397045537
ra1_q0.2,moderate,0.0010592537251772887,0.06949222682634626,0.19803255165455247,2.8497079558180647,3.0241640157378535,0.9423126328426918
ra1_q0.5,moderate,0.0010592537251772887,0.047055818850611275,0.42495223195800125,9.030811541227296,3.0241640157378535,2.9862175114281637
ra1_q1,circular,0.0010592537251772887,0.024077666319273664,0.48687251686146815,20.220918024424027,3.0241640157378535,6.6864488563430005
ra3_q1,circular,0.0010592537251772887,0.059070135901230204,1.3396595827124587,22.67913493465585,3.0241640157378535,7.499307185930674
ra0.05_q1,circular,0.001122018454301963,0.011385155412971382,0.10429912824394752,9.160975363157275,3.0241640157378535,3.0292587688641373
ra0.1_q0.05,strong,0.001122018454301963,0.009454860660269244,0.014522454566586164,1.535977640327553,3.0241640157378535,0.5079015662954365
ra0.1_q0.2,moderate,0.001122018454301963,0.011139659305254377,0.049098838610076016,4.407570937732088,3.0241640157378535,1.457451022760319
ra0.1_q0.5,moderate,0.001122018454301963,0.013786631438470358,0.11522752717210462,8.357917427934757,3.0241640157378535,2.763711685093754
ra0.1_q1,circular,0.001122018454301963,0.011599899015113642,0.14406721244189452,12.419695400295097,3.0241640157378535,4.106819384022353
ra0.3_q1,circular,0.001122018454301963,0.014462279070003407,0.23909659637582903,16.53242861782038,3.0241640157378535,5.466776448560677
ra10_q0.05,strong,0.001122018454301963,0.07439850611479645,0.36997054314927247,4.972822203962135,3.0241640157378535,1.6443626000717544
ra10_q0.2,moderate,0.001122018454301963,0.12221446773030835,1.4181148191998707,11.603493805080722,3.0241640157378535,3.836926087571885
ra10_q0.5,moderate,0.001122018454301963,0.21153002191214879,3.4066816699451548,16.104955878839718,3.0241640157378535,5.325424082499816
ra10_q1,circular,0.001122018454301963,0.24261420541751674,5.90991910875488,24.359328418484203,3.0241640157378535,8.054896590170845
ra1_q0.05,strong,0.001122018454301963,0.043851603100163346,0.05655912553836273,1.2897846723909634,3.0241640157378535,0.4264929632383957
ra1_q0.2,moderate,0.001122018454301963,0.07148033268559524,0.1995153056507812,2.7911916208944514,3.0241640157378535,0.9229630424702477
ra1_q0.5,moderate,0.001122018454301963,0.04842941693378102,0.4305348290070797,8.889944506161672,3.0241640157378535,2.9396370236197824
ra1_q1,circular,0.001122018454301963,0.024780731118377333,0.4939398515723378,19.93241640905555,3.0241640157378535,6.591050057247744
ra3_q1,circular,0.001122018454301963,0.06079503216458667,1.359107980278249,22.35557630101781,3.0241640157378535,7.392316086256771
ra0.05_q1,circular,0.001188502227437019,0.011716620626976777,0.10580266643890153,9.03013503700014,3.0241640157378535,2.985993811845854
ra0.1_q0.05,strong,0.001188502227437019,0.009626862406776886,0.014648723021797306,1.5216508144424346,3.0241640157378535,0.5031641162726993
ra0.1_q0.2,moderate,0.001188502227437019,0.011465195783506871,0.049496708213571994,4.3171271688857615,3.0241640157378535,1.4275439911391323
ra0.1_q0.5,moderate,0.001188502227437019,0.014189416195669437,0.11627111185235757,8.194213930228019,3.0241640157378535,2.7095798665631388
ra0.1_q1,circular,0.001188502227437019,0.01193826219395682,0.14614585890398854,12.24180341574069,3.0241640157378535,4.047995860024101
ra0.3_q1,circular,0.001188502227437019,0.01488452008753926,0.24256014658395,16.29613485402273,3.0241640157378535,5.388641214304873
ra10_q0.05,strong,0.001188502227437019,0.07656752547402124,0.3728665014913497,4.869773434402819,3.0241640157378535,1.6102874741781037
ra10_q0.2,moderate,0.001188502227437019,0.12578320322266756,1.4384149254663374,11.43566778880631,3.0241640157378535,3.781431076256017
ra10_q0.5,moderate,0.001188502227437019,0.21770718404347897,3.456161285629447,15.87527440040383,3.0241640157378535,5.24947533195566
ra10_q1,circular,0.001188502227437019,0.2496987560174022,5.995760784373745,24.01197699181122,3.0241640157378535,7.940037930103019
ra1_q0.05,strong,0.001188502227437019,0.0440739278313059,0.05715373774853793,1.2967697811571355,3.0241640157378535,0.42880272842633566
ra1_q0.2,moderate,0.001188502227437019,0.07352531634381673,0.20100916165723492,2.7338768692579616,3.0241640157378535,0.9040107795181651
ra1_q0.5,moderate,0.001188502227437019,0.049843111475585976,0.43619076462804607,8.751274784313974,3.0241640157378535,2.893783121144237
ra1_q1,circular,0.001188502227437019,0.02550431740416653,0.5011097741643995,19.648037084205022,3.0241640157378535,6.497014375528563
ra3_q1,circular,0.001188502227437019,0.06257029680908784,1.3788670293984724,22.0370862808214,3.0241640157378535,7.287001024461518
ra0.05_q1,circular,0.0012589254117941675,0.01205746745555152,0.10732787909213476,8.901361706990855,3.0241640157378535,2.943412348228424
ra0.1_q0.05,strong,0.0012589254117941675,0.0098019931894348,0.014776089343950189,1.507457621973945,3.0241640157378535,0.49847085479791564
