step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,interaction_sum_ms,gpu_total_ms,other_gpu_ms,host_gaps_ms
0,157.396622,56.882459000000004,13.480825000000001,6.057103,18.834731,52.347208,147.602326,155.472866,7.870539999999991,1.9237559999999974
1,157.451083,56.196926,13.480217999999999,6.047184000000001,18.860650999999997,52.665832,147.250811,155.542786,8.291975000000022,1.9082970000000046
2,157.060807,56.207741999999996,13.484121,6.055790999999999,18.839753999999996,52.944168000000005,147.531576,155.435296,7.903719999999993,1.6255110000000172
3,157.471081,56.20243,13.445145,6.049197,18.845898,53.018440999999996,147.56111099999998,155.54905499999998,7.987943999999999,1.9220260000000167
4,156.59700899999999,56.207838,13.453306000000001,6.045325000000001,18.830955000000003,52.341321,146.878745,154.75136,7.872614999999996,1.8456489999999803
5,156.98859,56.88326,13.465273999999999,6.063695,18.861642,52.297289,147.57116,155.460703,7.889542999999989,1.5278869999999927
6,157.700805,56.883610999999995,13.543735999999999,6.052047,19.526664,52.315786,148.321844,156.25257399999998,7.930729999999983,1.4482310000000211
7,157.040087,56.892123,13.46015,6.044335,18.879497999999998,52.329547,147.605653,155.507969,7.902316000000013,1.532117999999997
8,157.17935,56.204094,13.449241,6.073103,18.839019,53.016776,147.582233,155.57196599999997,7.989732999999973,1.6073840000000246
9,157.658557,56.889115,13.809974999999998,6.054221999999999,18.845675,52.333865,147.932852,155.785151,7.852299000000016,1.8734059999999886
