step,plane,m2l_count_ms,insert_ms,total_ms
0,3,12.357661,0.692894,13.480825000000001
0,2,4.962482,0.659582,6.057103
0,1,17.137967,1.243484,18.834731
0,0,48.576756,2.8271599999999997,52.347208
1,3,12.357372999999999,0.693374,13.480217999999999
1,2,4.954546000000001,0.657983,6.047184000000001
1,1,17.164142,1.2440609999999999,18.860650999999997
1,0,48.94341,2.824152,52.665832
2,3,12.361212,0.6931499999999999,13.484121
2,2,4.961681,0.659326,6.055790999999999
2,1,17.145422999999997,1.243388,18.839753999999996
2,0,48.922355,2.8246640000000003,52.944168000000005
3,3,12.321948,0.69267,13.445145
3,2,4.9571369999999995,0.658814,6.049197
3,1,17.150031,1.244028,18.845898
3,0,49.294546000000004,2.82652,53.018440999999996
4,3,12.330333000000001,0.693758,13.453306000000001
4,2,4.953841000000001,0.6575030000000001,6.045325000000001
4,1,17.137006,1.2423009999999999,18.830955000000003
4,0,48.615891000000005,2.8282800000000003,52.341321
5,3,12.341533,0.693886,13.465273999999999
5,2,4.966706,0.659967,6.063695
5,1,17.154766,1.245245,18.861642
5,0,48.575155,2.825656,52.297289
6,3,12.389436,0.693246,13.543735999999999
6,2,4.958482,0.659134,6.052047
6,1,17.830892,1.2440930000000001,19.526664
6,0,48.594836,2.8232559999999998,52.315786
7,3,12.337084999999998,0.693438,13.46015
7,2,4.952242,0.658366,6.044335
7,1,17.185326,1.24326,18.879497999999998
7,0,48.600212,2.823544,52.329547
8,3,12.326428,0.692926,13.449241
8,2,4.978833,0.6582380000000001,6.073103
8,1,17.146798999999998,1.240637,18.839019
8,0,49.294642,2.8241199999999997,53.016776
9,3,12.687291,0.692766,13.809974999999998
9,2,4.961265999999999,0.6580779999999999,6.054221999999999
9,1,17.149998,1.243837,18.845675
9,0,48.612563,2.824408,52.333865
