step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,interaction_sum_ms,gpu_total_ms,other_gpu_ms,host_gaps_ms
0,40.788632,2.8438090000000003,13.57018,2.497793,3.527041,8.581826000000001,31.020649000000002,38.95086,7.930210999999996,1.837772000000001
1,40.240215,2.839137,13.58759,2.492099,3.527457,8.514209999999999,30.960493,38.867151,7.906658,1.3730639999999994
2,40.288105,2.840801,13.6137,2.497313,3.5407379999999997,8.509923,31.002475,38.958445,7.955969999999997,1.329660000000004
3,40.229475,2.841888,13.612900000000002,2.492064,3.528001,8.524738,30.999591000000002,38.895275,7.895683999999999,1.3342000000000027
4,40.13725,2.847361,13.589668,2.492225,3.540961,8.509409999999999,30.979625,38.847434,7.867809000000001,1.2898160000000018
5,40.261886,2.841697,13.582052000000001,2.502049,3.527586,8.513281999999998,30.966666,38.898187,7.9315209999999965,1.3636989999999969
6,40.396480000000004,2.842464,13.618851000000001,2.493184,3.530209,8.506338,30.991046,38.884299,7.893252999999998,1.5121810000000053
7,40.278127,2.842049,13.555332,2.4997130000000003,3.529538,8.513187,30.939819,38.856237,7.916417999999997,1.4218899999999977
8,40.456965,2.840993,13.588804,2.493856,3.527585,8.517731,30.968969,38.881551,7.912582000000004,1.575413999999995
9,40.557085,2.845025,13.567108000000001,2.491745,3.5403860000000003,8.508226,30.95249,38.905035000000005,7.952545000000004,1.6520499999999956
