step,plane,m2l_count_ms,insert_ms,total_ms
0,3,12.81159,0.691039,13.933764
0,2,1.559901,0.48297500000000004,2.477052
0,1,2.560347,0.495647,3.507
0,0,7.308337000000001,0.549151,8.759151
1,3,12.805286,0.690175,13.926084000000001
1,2,1.560444,0.482911,2.477563
1,1,2.8598980000000003,0.495743,3.812313
1,0,7.015026,0.549375,8.462318999999999
2,3,12.765094999999999,0.6897580000000001,13.900452
2,2,1.5604770000000001,0.48319999999999996,2.479003
2,1,2.55849,0.495423,3.505657
2,0,7.285649,0.549471,8.744143
3,3,12.821093999999999,0.6894389999999999,13.942212
3,2,1.560124,0.48316699999999996,2.477275
3,1,2.561051,0.496127,3.509943
3,0,7.01893,0.549023,8.465264000000001
4,3,12.497862999999999,0.689535,13.714564999999999
4,2,1.560221,0.483007,2.477499
4,1,2.5596750000000004,0.495487,3.507385
4,0,7.014578,0.5494070000000001,8.461616
5,3,12.797895,0.690654,13.9185
5,2,1.559389,0.483263,2.4771129999999997
5,1,2.560475,0.495615,3.507898
5,0,7.355921,0.548543,8.802989
6,3,12.487238999999999,0.689982,13.610659
6,2,1.851164,0.48284699999999997,2.776475
6,1,2.558907,0.495423,3.505977
6,0,7.021458,0.549439,8.775886
7,3,12.832134,0.689855,13.953028
7,2,1.560221,0.482783,2.479003
7,1,2.558203,0.495391,3.5050169999999996
7,0,7.358098,0.548959,8.806704
8,3,12.485831000000001,0.6899829999999999,13.607845
8,2,1.818492,0.483135,2.778618
8,1,2.558331,0.49526299999999995,3.505849
8,0,7.015954,0.5493429999999999,8.463534
9,3,12.810982,0.68947,13.931011
9,2,1.559517,0.482911,2.47798
9,1,2.559835,0.495711,3.507641
9,0,7.358225,0.548991,8.80619
