step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,interaction_sum_ms,gpu_total_ms,other_gpu_ms,host_gaps_ms
0,41.322672,2.84537,13.933764,2.477052,3.507,8.759151,31.522336999999997,39.420113,7.897776,1.9025589999999966
1,41.135909,2.854682,13.926084000000001,2.477563,3.812313,8.462318999999999,31.532961,39.78123,8.248269000000004,1.3546789999999973
2,40.66403699999999,2.8468739999999997,13.900452,2.479003,3.505657,8.744143,31.476129,39.345714,7.869585000000001,1.3183229999999924
3,40.805014,2.84633,13.942212,2.477275,3.509943,8.465264000000001,31.241024000000003,39.449457,8.208433,1.3555569999999975
4,40.725182999999994,2.84889,13.714564999999999,2.477499,3.507385,8.461616,31.009954999999998,39.226388,8.216433000000006,1.498794999999994
5,40.739589,2.847963,13.9185,2.4771129999999997,3.507898,8.802989,31.554463,39.44088,7.886417000000002,1.2987090000000023
6,41.15782,2.84857,13.610659,2.776475,3.505977,8.775886,31.517567,39.821551,8.303983999999996,1.3362690000000015
7,40.851732000000005,2.846682,13.953028,2.479003,3.5050169999999996,8.806704,31.590434000000002,39.505393,7.914958999999996,1.3463390000000075
8,41.136641000000004,3.174009,13.607845,2.778618,3.505849,8.463534,31.529854999999998,39.801773000000004,8.271918000000007,1.3348680000000002
9,40.796036,2.844027,13.931011,2.47798,3.507641,8.80619,31.566849,39.444593999999995,7.877744999999997,1.3514420000000058
