step,plane,m2l_count_ms,insert_ms,total_ms
0,3,12.227025,0.681149,13.337515
0,2,1.536154,0.47731,2.451735
0,1,2.521367,0.489854,3.4678590000000002
0,0,6.914406,0.544862,8.356832
1,3,12.241233,0.6809890000000001,13.355724
1,2,1.535866,0.477599,2.454904
1,1,2.521111,0.48963,3.471571
1,0,6.916389000000001,0.5434220000000001,8.362112000000002
2,3,12.203121,0.679933,13.321612
2,2,1.536218,0.477406,2.445335
2,1,2.5232550000000002,0.489599,3.469652
2,0,6.913669,0.54339,8.365184
3,3,12.194833000000001,0.679966,13.309998000000002
3,2,1.53625,0.477342,2.449943
3,1,2.522198,0.489949,3.4715369999999997
3,0,6.911173,0.543902,8.369504
4,3,12.191921,0.680253,13.309357
4,2,1.5376910000000001,0.477374,2.456984
4,1,2.522294,0.490014,3.4632509999999996
4,0,6.9143419999999995,0.543038,8.364255
5,3,12.195025,0.68035,13.304431000000001
5,2,1.537466,0.47747,2.449303
5,1,2.5233499999999998,0.490046,3.468463
5,0,6.915014,0.543454,8.359521
6,3,12.165009,0.680286,13.27816
6,2,1.536027,0.477438,2.453623
6,1,2.5221660000000004,0.489726,3.4698740000000003
6,0,6.910374,0.543709,8.356798999999999
7,3,12.225969,0.680158,13.341132
7,2,1.536762,0.477438,2.453143
7,1,2.521846,0.489662,3.4626750000000004
7,0,6.9108540000000005,0.543102,8.363679
8,3,12.166737,0.6801889999999999,13.275946999999999
8,2,1.5400260000000001,0.477406,2.4542620000000004
8,1,2.523702,0.48975799999999997,3.47173
8,0,6.912294,0.543805,8.35216
9,3,12.204880999999999,0.680606,13.321997999999999
9,2,1.538458,0.477438,2.456182
9,1,2.522902,0.489726,3.4757290000000003
9,0,6.911238,0.5433250000000001,8.357151
