step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,interaction_sum_ms,gpu_total_ms,other_gpu_ms,host_gaps_ms
0,40.193768,2.859893,13.337515,2.451735,3.4678590000000002,8.356832,30.473834,38.336784,7.862950000000001,1.856983999999997
1,39.784803999999994,2.861877,13.355724,2.454904,3.471571,8.362112000000002,30.506188,38.402989999999996,7.896801999999994,1.3818139999999985
2,39.674926,2.861526,13.321612,2.445335,3.469652,8.365184,30.463309,38.307311999999996,7.844003000000001,1.3676140000000032
3,39.630934,2.858965,13.309998000000002,2.449943,3.4715369999999997,8.369504,30.459947000000003,38.32219,7.862242999999999,1.3087440000000043
4,39.681078,2.856405,13.309357,2.456984,3.4632509999999996,8.364255,30.450252,38.319728000000005,7.869476000000002,1.3613499999999945
5,39.562904,2.862326,13.304431000000001,2.449303,3.468463,8.359521,30.444044,38.283406,7.839361999999994,1.2794980000000038
6,39.644689,2.862197,13.27816,2.453623,3.4698740000000003,8.356798999999999,30.420653,38.291055,7.870401999999999,1.3536339999999996
7,39.645480000000006,2.8547730000000002,13.341132,2.453143,3.4626750000000004,8.363679,30.475402000000003,38.359019,7.883617000000001,1.2864610000000027
8,39.594154,2.8567579999999997,13.275946999999999,2.4542620000000004,3.47173,8.35216,30.410856999999996,38.270829,7.859972000000003,1.323325000000004
9,39.637305,2.861141,13.321997999999999,2.456182,3.4757290000000003,8.357151,30.472201,38.358348,7.886147000000005,1.2789569999999983
