step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,interaction_sum_ms,gpu_total_ms,other_gpu_ms,host_gaps_ms
0,191.11411900000002,55.459812,12.669969000000002,5.453758,17.542545999999998,49.024620999999996,140.150706,188.875484,48.724778,2.2386350000000164
1,191.432141,55.461636,12.699152,5.451807,17.546385,49.045964,140.204944,189.01820800000002,48.81326400000002,2.413932999999986
2,189.735955,55.464005,12.752272000000001,5.4491819999999995,17.522256999999996,49.005581,140.193297,188.956646,48.76334899999999,0.7793089999999836
3,190.009613,55.465605000000004,12.730768,5.444990000000001,17.537556000000002,49.004332999999995,140.183252,188.99978,48.81652799999998,1.0098330000000146
4,189.88866399999998,55.463748,12.744977,5.461054,17.566997,49.046093,140.282869,189.131581,48.848712000000006,0.757082999999966
5,190.038567,55.464196,12.712081,5.454206,17.539954,49.01726,140.18769700000001,189.018109,48.830412000000024,1.0204579999999908
6,189.797542,55.468324,12.718001999999998,5.462207,17.548114,49.009772000000005,140.206419,188.985791,48.77937200000001,0.8117509999999868
7,190.010624,55.455844,12.694256,5.457151,17.542548,49.027597,140.177396,188.93568599999998,48.75828999999996,1.0749380000000315
8,190.318918,55.466339999999995,12.736752000000001,5.459165,17.564883,49.032875999999995,140.26001599999998,189.079905,48.819889,1.239013
9,189.73786900000002,55.463012,12.71224,5.449533000000001,17.535058,49.043853000000006,140.203696,188.978524,48.774828,0.7593450000000246
