step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,interaction_sum_ms,gpu_total_ms,other_gpu_ms,host_gaps_ms
0,157.49972599999998,56.220197999999996,13.520866,6.05506,19.200506,52.716205,147.71283499999998,155.59400200000002,7.881167000000019,1.9057239999999638
1,157.640592,56.227974,13.500163,6.055668000000001,18.829078999999997,53.002252,147.615136,155.888591,8.273454999999998,1.752001000000007
2,156.88345999999999,56.227973,13.504833999999999,6.049683999999999,18.819989,52.975788,147.578268,155.45966099999998,7.8813929999999885,1.4237990000000025
3,157.094021,56.244038,13.506338,6.067443,18.822743,53.013261,147.653823,155.51547,7.861646999999991,1.5785510000000045
4,157.36063099999998,56.230277,13.500675,6.061299,19.514484999999997,52.352975,147.65971100000002,155.558285,7.898574000000011,1.8023459999999716
5,157.88789000000003,56.571653,13.834753000000001,6.057555000000001,18.859191000000003,52.619087,147.942239,156.135789,8.193549999999988,1.7521010000000388
6,156.895082,56.232966,13.439907999999999,6.051506,18.840952,53.025326,147.590658,155.502516,7.911858000000009,1.392565999999988
7,156.862681,56.932004,13.50317,6.05938,18.836376,52.421964,147.752894,155.618413,7.865518999999992,1.2442680000000053
8,157.643257,56.90794,13.508353999999999,6.0628969999999995,19.519762999999998,52.330223000000004,148.32917700000002,156.269193,7.940016,1.3740640000000042
9,156.103105,56.224869,13.475747,6.061139,18.813079,52.307214,146.882048,154.78055799999998,7.8985099999999875,1.3225470000000144
