step,plane,m2l_count_ms,insert_ms,total_ms
0,3,12.356907,0.705567,13.10849
0,2,4.990935,0.658175,5.700693
0,1,16.739010999999998,1.2264300000000001,18.016126
0,0,50.086763,2.798524,52.937862
1,3,12.351211,0.694078,15.916771999999998
1,2,4.989015,0.657567,6.893651000000001
1,1,16.747267,1.22531,19.414303
1,0,50.122057999999996,2.801147,55.447776999999995
2,3,12.327499,0.693406,15.914116
2,2,4.990359000000001,0.657343,6.8928519999999995
2,1,16.770435000000003,1.2253420000000002,19.406911
2,0,50.070026,2.797787,55.384769
3,3,12.367595,0.6934389999999999,15.932004999999998
3,2,4.987832,0.6574059999999999,6.890325
3,1,16.757572,1.223326,19.410527000000002
3,0,50.141163,2.798715,55.467715000000005
4,3,12.341899,0.693631,15.909448999999999
4,2,4.988344,0.657759,6.893173
4,1,16.755907,1.225245,19.392508999999997
4,0,50.120331,2.797947,55.435393
5,3,12.355147,0.694239,15.918533000000002
5,2,4.986711000000001,0.658015,6.8909009999999995
5,1,16.754851,1.224254,19.390463
5,0,50.130986,2.799451,55.440801
6,3,12.370859000000001,0.694366,15.943492
6,2,4.9936549999999995,0.6582709999999999,6.900244
6,1,16.748099,1.2265899999999998,19.413726999999998
6,0,50.109738,2.799131,55.424384999999994
7,3,12.360267,0.693759,15.926692999999998
7,2,4.988728,0.6578229999999999,6.892532
7,1,16.743011,1.224958,19.420895999999995
7,0,50.100713999999996,2.796635,55.435233
8,3,12.334699,0.693087,15.901829000000001
8,2,5.003512,0.65891,6.907957
8,1,16.809187,1.2299179999999998,19.454911
8,0,50.395434,2.8137869999999996,55.759617
9,3,12.420298,0.6976950000000001,15.996037
9,2,5.0237359999999995,0.6610539999999999,6.934837
9,1,16.839011,1.231838,19.50547
9,0,50.425258,2.8120909999999997,55.778593
