step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,other_gpu_ms,host_gaps_ms
0,175.94222200000002,35.176036,13.10849,5.700693,18.016126,52.937862,49.18794599999998,1.8150690000000225
1,176.38684,35.177956,15.916771999999998,6.893651000000001,19.414303,55.447776999999995,41.29621700000003,2.240163999999993
2,174.987846,35.177892,15.914116,6.8928519999999995,19.406911,55.384769,41.34789599999996,0.863410000000016
3,175.45483,35.17514,15.932004999999998,6.890325,19.410527000000002,55.467715000000005,41.32428700000001,1.2548309999999674
4,175.242266,35.180035000000004,15.909448999999999,6.893173,19.392508999999997,55.435393,41.34815000000002,1.0835569999999848
5,174.861426,35.181667999999995,15.918533000000002,6.8909009999999995,19.390463,55.440801,41.29752599999999,0.7415340000000015
6,175.007634,35.181348,15.943492,6.900244,19.413726999999998,55.424384999999994,41.38613699999998,0.7583010000000172
7,174.985019,35.179300000000005,15.926692999999998,6.892532,19.420895999999995,55.435233,41.345365,0.7849999999999966
8,176.020048,35.422499,15.901829000000001,6.907957,19.454911,55.759617,41.37122499999998,1.2020100000000014
9,176.050775,35.427748,15.996037,6.934837,19.50547,55.778593,41.459157000000005,0.9489329999999825
