step,plane,m2l_count_ms,insert_ms,total_ms
0,3,12.249855,0.64355,12.938236999999999
0,2,4.827987,0.643263,5.5230250000000005
0,1,16.563762,1.180573,17.795983
0,0,47.024,2.6325369999999997,49.70863299999999
1,3,12.246879000000002,0.649054,12.943965
1,2,4.83733,0.6448630000000001,5.535986
1,1,16.577555,1.180572,17.810672999999998
1,0,47.039072,2.6357049999999997,49.729273
2,3,12.251614,0.6480309999999999,12.947389
2,2,4.827251,0.6438379999999999,5.524305
2,1,16.538194999999998,1.180093,17.771632
2,0,47.037824,2.632664,49.724889000000005
3,3,12.192319,0.648351,12.888606
3,2,4.829841999999999,0.64435,5.527793
3,1,16.577203,1.181085,17.811182000000002
3,0,47.049983999999995,2.6350010000000004,49.739608999999994
4,3,12.255870999999999,0.654334,12.957149
4,2,4.827890999999999,0.643774,5.525329
4,1,16.564083,1.1820119999999998,17.799949999999995
4,0,47.0696,2.634681,49.758873
5,3,12.252575,0.6496620000000001,12.950333
5,2,4.829331,0.644478,5.526833
5,1,16.566739000000002,1.180476,17.800879000000002
5,0,47.048864,2.634233,49.737561
6,3,12.217726,0.646654,12.912476
6,2,4.833043,0.644062,5.531536999999999
6,1,16.566291,1.179261,17.799344
6,0,47.049857,2.630297,49.735414000000006
7,3,12.291229999999999,0.649278,12.989180000000001
7,2,4.830546999999999,0.643678,5.527248999999999
7,1,16.598963,1.180125,17.832592
7,0,47.08992,2.634777,49.778681
8,3,12.196191,0.642879,12.887168
8,2,4.837011,0.6442859999999999,5.534865000000001
8,1,16.581587,1.1808610000000002,17.816016
8,0,47.027423999999996,2.631417,49.713401
9,3,12.216318,0.648383,12.912255
9,2,4.839603,0.645182,5.540337
9,1,16.573843,1.1817570000000002,17.8092
9,0,47.07936,2.6331770000000003,49.766201
