step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,interaction_sum_ms,gpu_total_ms,other_gpu_ms,host_gaps_ms
0,193.257563,56.291623,12.938236999999999,5.5230250000000005,17.795983,49.70863299999999,142.257501,191.400727,49.14322600000001,1.8568360000000155
1,193.915548,56.292231,12.943965,5.535986,17.810672999999998,49.729273,142.312128,191.510142,49.198014000000015,2.4054059999999993
2,192.23542,56.294407,12.947389,5.524305,17.771632,49.724889000000005,142.262622,191.469527,49.20690499999999,0.7658930000000055
3,192.401183,56.289894999999994,12.888606,5.527793,17.811182000000002,49.739608999999994,142.257085,191.464984,49.20789899999998,0.9361990000000162
4,192.32085899999998,56.288903,12.957149,5.525329,17.799949999999995,49.758873,142.33020399999998,191.53452,49.20431599999999,0.7863389999999981
5,192.489441,56.285895,12.950333,5.526833,17.800879000000002,49.737561,142.301501,191.509755,49.208254,0.9796859999999867
6,192.319729,56.291207,12.912476,5.531536999999999,17.799344,49.735414000000006,142.269978,191.484665,49.21468700000001,0.8350639999999885
7,192.595069,56.291495000000005,12.989180000000001,5.527248999999999,17.832592,49.778681,142.419197,191.607899,49.188702000000006,0.9871699999999919
8,192.327531,56.291271,12.887168,5.534865000000001,17.816016,49.713401,142.242721,191.466554,49.22383300000001,0.8609769999999912
9,192.538544,56.290759,12.912255,5.540337,17.8092,49.766201,142.31875200000002,191.525498,49.20674599999998,1.0130460000000028
