epsilon_over_spacing,epsilon,total_ms,total_min_ms,total_max_ms,leaf_leaf_ms_median,leaf_leaf_ms_min,leaf_leaf_ms_max,plane_0_ms_median,plane_0_ms_min,plane_0_ms_max,plane_1_ms_median,plane_1_ms_min,plane_1_ms_max,plane_2_ms_median,plane_2_ms_min,plane_2_ms_max,plane_3_ms_median,plane_3_ms_min,plane_3_ms_max,gpu_total_ms,interaction_sum_ms,profiled_wall_ms
0.1,0.0006299605249474368,157.15047548292205,153.71229400625452,158.23680901667103,57.2734985,57.256123,57.618010000000005,52.9913935,52.670081999999994,53.368449,18.8724785,18.850686000000003,19.161342,5.7549185000000005,5.74335,6.101557,13.453368999999999,13.117545,13.549256,157.99637800000002,148.6542505,159.8504555
0.14677992676220694,0.000924655597148662,154.62540500448085,154.51727499021217,154.93042505113408,56.798111999999996,56.530577,56.803249,52.870288,52.578288,52.889966,19.042724999999997,18.93863,19.072485,6.1177455,6.089409000000001,6.131682,13.639508000000001,13.554532000000002,13.68077,156.42231800000002,148.486555,157.8379585
0.21544346900318834,0.0013572088082974534,154.72029047668912,154.47365201544017,155.4346490302123,56.456247,56.451542,56.459447,52.615128,52.587065,52.638006999999995,18.965260999999998,18.942685,18.993886,6.09304,6.070399,6.151871,13.537998,13.469597,13.570494,155.6058955,147.6690155,157.07793650000002
0.31622776601683794,0.0019921100948292244,154.95478850789368,153.99601100943983,155.82030202494934,56.5451485,56.196926,56.892123,52.3442645,52.297289,53.018440999999996,18.8457865,18.830955000000003,19.526664,6.0531345,6.044335,6.073103,13.472745999999999,13.445145,13.809974999999998,155.5253775,147.5766965,157.287986
0.46415888336127786,0.0029240177382128664,154.69244099222124,154.5005029765889,155.199425003957,56.507108,56.502916,56.512389000000006,52.653892500000005,52.630083,52.675364,18.969713000000002,18.954369999999997,19.030656999999998,6.0988834999999995,6.084064,6.158785,13.550961,13.508321,13.618977999999998,155.7301715,147.783753,157.070939
0.6812920690579611,0.0042918710946627855,155.2390804863535,154.37319298507646,158.13443600200117,56.451978999999994,56.444618999999996,56.458603000000004,52.5481425,52.508366,52.59969399999999,18.934669999999997,18.923022999999997,18.990765,6.0917390000000005,6.073114,6.129339,13.517331,13.501138000000001,13.574834999999998,155.512365,147.559733,156.995035
1.0,0.006299605249474367,155.01359850168228,152.214793022722,164.768140995875,56.2316215,56.220197999999996,56.932004,52.667646000000005,52.307214,53.025326,18.838664,18.813079,19.519762999999998,6.058467500000001,6.049683999999999,6.067443,13.504002,13.439907999999999,13.834753000000001,155.5761435,147.656767,157.227326
1.467799267622069,0.009246555971486617,151.38205300900154,151.2306000222452,151.6588720260188,56.1325165,55.664038,61.00786,51.8102095,51.760945,55.849218,18.208179,18.189058,19.510464,6.0230025000000005,6.015177,6.872904999999999,13.398371,13.327826000000002,14.614925000000001,153.4226395,145.561113,155.29519750000003
2.1544346900318834,0.013572088082974533,144.3940515164286,144.32005200069398,144.8743210057728,45.254143,45.248543,45.256191,53.9087885,53.895300999999996,53.997509,18.602462000000003,18.585418999999998,18.652396999999997,6.1444035,6.13709,6.148007,13.621592,13.589865,13.65841,145.4965155,137.5417435,146.92622949999998
3.1622776601683795,0.019921100948292244,131.97576446691528,131.69240404386073,132.17253098264337,34.591976,34.589033,34.593832,52.703977,52.681114,52.726393,17.749297999999996,17.740436,17.769267,5.693671500000001,5.689671000000001,5.701702,12.969223,12.939174,13.002375,132.81244299999997,123.71627550000001,134.196344
