step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,interaction_sum_ms,gpu_total_ms,other_gpu_ms,host_gaps_ms
0,157.506327,56.452151,13.527773999999999,6.0974070000000005,18.974044999999997,52.587065,147.638442,155.609257,7.970815000000016,1.8970699999999852
1,157.023225,56.452023000000004,13.551742,6.088673000000001,18.966780999999997,52.596695,147.655914,155.586217,7.930303000000009,1.4370079999999916
2,157.092985,56.45247,13.530526,6.151871,18.963836999999998,52.611928,147.710632,155.662565,7.951932999999997,1.430419999999998
3,157.24322099999998,56.456822,13.556220999999999,6.070399,18.965021,52.609624000000004,147.65808700000002,155.649541,7.99145399999999,1.5936799999999778
4,157.12621900000002,56.458935,13.529307000000001,6.076895,18.993886,52.638006999999995,147.69702999999998,155.599908,7.902878000000001,1.526311000000021
5,157.06288800000002,56.459447,13.570494,6.104094999999999,18.965501,52.621047,147.72058399999997,155.679307,7.958723000000006,1.3835810000000208
6,157.21884400000002,56.456917999999995,13.51187,6.085311,18.942685,52.612888000000005,147.609672,155.523046,7.91337399999999,1.6957980000000248
7,157.00733400000001,56.456182999999996,13.469597,6.099486,18.963741,52.619672,147.608679,155.602534,7.993854999999996,1.404800000000023
8,157.033403,56.456311,13.55907,6.087871,18.959324000000002,52.617368,147.679944,155.601835,7.921890999999988,1.4315679999999986
9,156.972418,56.451542,13.54547,6.127039,18.969277,52.620855999999996,147.714184,155.65143,7.937246000000002,1.3209879999999998
