step,plane,m2l_count_ms,insert_ms,total_ms
0,3,12.401918,0.69648,13.527773999999999
0,2,4.9960640000000005,0.661984,6.0974070000000005
0,1,17.261564999999997,1.248896,18.974044999999997
0,0,48.852728000000006,2.836544,52.587065
1,3,12.414909999999999,0.6961280000000001,13.551742
1,2,4.990975000000001,0.663104,6.088673000000001
1,1,17.261533,1.252704,18.966780999999997
1,0,48.858648,2.8399989999999997,52.596695
2,3,12.404574,0.6965439999999999,13.530526
2,2,4.992799,0.662592,6.151871
2,1,17.255389,1.249088,18.963836999999998
2,0,48.863512,2.838112,52.611928
3,3,12.424766,0.6962240000000001,13.556220999999999
3,2,4.973407,0.66224,6.070399
3,1,17.259228999999998,1.252672,18.965021
3,0,48.872440000000005,2.838976,52.609624000000004
4,3,12.402046,0.696896,13.529307000000001
4,2,4.980671,0.662143,6.076895
4,1,17.257502,1.249504,18.993886
4,0,48.895351999999995,2.8391669999999998,52.638006999999995
5,3,12.442974,0.696416,13.570494
5,2,4.9925429999999995,0.66176,6.104094999999999
5,1,17.259741,1.253952,18.965501
5,0,48.884663,2.839839,52.621047
6,3,12.385886000000001,0.695936,13.51187
6,2,4.987871,0.662592,6.085311
6,1,17.237597,1.252192,18.942685
6,0,48.876408000000005,2.838496,52.612888000000005
7,3,12.343581,0.696096,13.469597
7,2,4.996287000000001,0.661855,6.099486
7,1,17.250014,1.249824,18.963741
7,0,48.88364,2.838879,52.619672
8,3,12.426846,0.696192,13.55907
8,2,4.9916149999999995,0.661376,6.087871
8,1,17.254845,1.251935,18.959324000000002
8,0,48.88508,2.836,52.617368
9,3,12.418942,0.696576,13.54547
9,2,4.992095,0.6626559999999999,6.127039
9,1,17.258973,1.251744,18.969277
9,0,48.874776,2.836,52.620855999999996
