step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,interaction_sum_ms,gpu_total_ms,other_gpu_ms,host_gaps_ms
0,191.46634,55.662152,12.774134,5.469456,17.641830000000002,49.274205,140.821777,189.623022,48.801244999999994,1.8433180000000107
1,192.081112,55.664584000000005,12.766485,5.483435999999999,17.628006999999997,49.266939,140.809451,189.704333,48.89488199999998,2.376778999999999
2,190.63549700000002,55.6634,12.794678,5.478797999999999,17.634854,49.272316,140.844046,189.722577,48.87853100000001,0.9129200000000139
3,190.592396,55.666951999999995,12.760245,5.479598,17.637382000000002,49.24499,140.789167,189.71326000000002,48.92409300000001,0.8791359999999884
4,190.512044,55.670952,12.789943,5.485805,17.623397,49.304573,140.87466999999998,189.763337,48.88866700000001,0.748706999999996
5,190.5952,55.665224,12.764021999999999,5.47579,17.624005999999998,49.25542000000001,140.78446200000002,189.749544,48.96508199999998,0.8456560000000195
6,190.495192,55.666919,12.733078,5.482094,17.627043999999998,49.263997,140.773132,189.684397,48.911264999999986,0.810795000000013
7,190.633373,55.668519999999994,12.800726,5.4755,17.633190000000003,49.305404,140.88334,189.798212,48.914872,0.8351609999999994
8,190.69806599999998,55.664103000000004,12.830678,5.478190000000001,17.645477,49.26178900000001,140.88023700000002,189.749666,48.86942899999997,0.9483999999999924
9,190.835046,55.667496,12.802293000000002,5.483054,17.644582,49.285853,140.88327800000002,189.772531,48.88925299999998,1.062515000000019
