step,plane,m2l_count_ms,insert_ms,total_ms
0,3,12.215017,0.682813,13.326628000000001
0,2,2.5455569999999996,0.5262060000000001,3.510031
0,1,2.525748,0.48988600000000004,3.475121
0,0,6.924801,0.543582,8.367709000000001
1,3,12.210025,0.683357,13.329859
1,2,2.549493,0.525886,3.516018
1,1,2.5243409999999997,0.489565,3.465392
1,0,6.926177,0.543134,8.377754
2,3,12.213225,0.6831,13.325059000000001
2,2,2.542229,0.5256609999999999,3.5070559999999995
2,1,2.525109,0.489757,3.47352
2,0,6.924544,0.543581,8.366905000000001
3,3,12.223913,0.682236,13.341891
3,2,2.5400210000000003,0.5253730000000001,3.505615
3,1,2.525237,0.489885,3.466352
3,0,6.9240010000000005,0.5441900000000001,8.377276
4,3,12.201193,0.682589,13.312612
4,2,2.539317,0.5255019999999999,3.528654
4,1,2.524917,0.489725,3.4691680000000003
4,0,6.922177,0.543421,8.363002
5,3,12.186633,0.682045,13.301350000000001
5,2,2.54866,0.525822,3.5155049999999997
5,1,2.527348,0.48975799999999997,3.477904
5,0,6.923937,0.543677,8.371898
6,3,12.181289000000001,0.683228,13.304099
6,2,2.5478609999999997,0.525982,3.506256
6,1,2.525621,0.490013,3.470736
6,0,6.922144,0.543677,8.376985000000001
7,3,12.202985,0.6825249999999999,13.319012
7,2,2.5463560000000003,0.525693,3.513647
7,1,2.5251729999999997,0.489822,3.472689
7,0,6.920319999999999,0.5436449999999999,8.367640999999999
8,3,12.180137,0.682557,13.298980000000002
8,2,2.549364,0.526045,3.509583
8,1,2.525717,0.490014,3.4709610000000004
8,0,6.916832,0.5440929999999999,8.369433
9,3,12.248520000000001,0.683293,13.3633
9,2,2.548116,0.52595,3.5132
9,1,2.526676,0.489854,3.475056
9,0,6.921537,0.54355,8.384731
