step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,interaction_sum_ms,gpu_total_ms,other_gpu_ms,host_gaps_ms
0,147.445112,45.255007,13.621450000000001,6.144579,18.652396999999997,53.933413,137.606846,145.54102600000002,7.934180000000012,1.9040859999999782
1,146.774923,45.256191,13.589865,6.139397,18.608462,53.997509,137.59142400000002,145.49795699999999,7.906532999999982,1.2769660000000158
2,146.799411,45.255711000000005,13.624842000000001,6.144005,18.603788,53.934504000000004,137.56285000000003,145.505354,7.942504,1.294056999999981
3,147.099789,45.255168,13.65841,6.148004,18.596141,53.906692,137.564415,145.50112299999998,7.936707999999982,1.5986660000000086
4,146.91585999999998,45.251487000000004,13.612937,6.148007,18.617325,53.903076999999996,137.532833,145.507878,7.975045000000009,1.4079819999999756
5,146.937571,45.253663,13.621734,6.144228,18.59998,53.905858,137.525463,145.486621,7.961158000000012,1.4509499999999775
6,146.779552,45.252063,13.595434000000001,6.139493000000001,18.603279,53.909892,137.500161,145.37607200000002,7.8759110000000305,1.4034799999999734
7,147.167017,45.248543,13.634794,6.13709,18.585418999999998,53.895300999999996,137.501147,145.495074,7.993926999999999,1.6719429999999988
8,146.936599,45.254623,13.647081,6.145861,18.59182,53.911269,137.550654,145.47898,7.928325999999998,1.457618999999994
9,146.79857800000002,45.25264,13.618602000000001,6.1463399999999995,18.601645,53.907685,137.52691199999998,145.472998,7.946085999999994,1.3255800000000306
