step,plane,m2l_count_ms,insert_ms,total_ms
0,3,12.489705,0.700513,13.621450000000001
0,2,5.043203,0.665184,6.144579
0,1,16.925099999999997,1.2348810000000001,18.652396999999997
0,0,50.178978,2.848578,53.933413
1,3,12.451753,0.69968,13.589865
1,2,5.038884,0.665505,6.139397
1,1,16.91694,1.238561,18.608462
1,0,50.179235,2.855554,53.997509
2,3,12.486888,0.6991369999999999,13.624842000000001
2,2,5.042659,0.665249,6.144005
2,1,16.910571,1.240673,18.603788
2,0,50.184482,2.852386,53.934504000000004
3,3,12.526857,0.700225,13.65841
3,2,5.046659,0.665312,6.148004
3,1,16.905036,1.237793,18.596141
3,0,50.154178,2.8558739999999996,53.906692
4,3,12.481769,0.699296,13.612937
4,2,5.040259,0.666593,6.148007
4,1,16.914283,1.2381769999999999,18.617325
4,0,50.153219,2.853282,53.903076999999996
5,3,12.490120000000001,0.700032,13.621734
5,2,5.038628,0.6668160000000001,6.144228
5,1,16.905643,1.2376969999999998,18.59998
5,0,50.140898,2.853154,53.905858
6,3,12.465225,0.6987530000000001,13.595434000000001
6,2,5.038371,0.6649919999999999,6.139493000000001
6,1,16.911148,1.239393,18.603279
6,0,50.155298,2.8509140000000004,53.909892
7,3,12.495913,0.700193,13.634794
7,2,5.034916,0.6664650000000001,6.13709
7,1,16.893676,1.239072,18.585418999999998
7,0,50.148131,2.850402,53.895300999999996
8,3,12.511719999999999,0.6989120000000001,13.647081
8,2,5.044356,0.665665,6.145861
8,1,16.899595,1.239489,18.59182
8,0,50.159586000000004,2.8544650000000003,53.911269
9,3,12.487689,0.700481,13.618602000000001
9,2,5.036930999999999,0.665632,6.1463399999999995
9,1,16.908684,1.238368,18.601645
9,0,50.160451,2.8504340000000004,53.907685
