step,plane,m2l_count_ms,insert_ms,total_ms
0,3,12.237591,0.686781,13.365810999999999
0,2,4.931215,0.651837,6.022219
0,1,16.545737000000003,1.2135,18.214402000000003
0,0,48.130111,2.797975,51.829553999999995
1,3,12.261014,0.688157,13.377585999999999
1,2,4.93,0.651006,6.022190999999999
1,1,16.519145,1.210716,18.189058
1,0,48.075071,2.800695,51.78459600000001
2,3,12.236694,0.6866530000000001,13.356369999999998
2,2,4.932592,0.6507179999999999,6.023625
2,1,16.526280999999997,1.2138520000000002,18.201732
2,0,48.073951,2.796759,51.771699
3,3,12.205047,0.68691,13.327826000000002
3,2,4.9378720000000005,0.651134,6.02238
3,1,16.530217,1.211836,18.193378
3,0,48.083455,2.7931109999999997,51.790865000000004
4,3,12.22892,0.6872290000000001,13.34482
4,2,4.938479999999999,0.65235,6.028074999999999
4,1,16.521832999999997,1.2138520000000002,18.189731
4,0,48.064575,2.7954149999999998,51.760945
5,3,12.296471,0.687134,13.419156
5,2,4.936046999999999,0.6520929999999999,6.0290669999999995
5,1,16.531496999999998,1.211676,18.201956
5,0,48.080576,2.794134,51.781396
6,3,12.735445,0.687166,13.860498
6,2,5.787789,0.651486,6.872904999999999
6,1,17.696099999999998,1.211356,19.365342999999996
6,0,52.141649,2.796055,55.849218
7,3,13.438835,0.686589,14.555054
7,2,4.932943,0.650494,6.017067
7,1,17.703941,1.212348,19.375392
7,0,52.151537,2.79695,55.846916
8,3,13.499922,0.686365,14.614925000000001
8,2,4.9308000000000005,0.650814,6.087083000000001
8,1,17.8425,1.214076,19.510464
8,0,51.406803999999994,2.794039,55.098536
9,3,13.499187,0.686014,14.614481
9,2,4.927631,0.6509729999999999,6.015177
9,1,17.309063,1.212732,18.972578
9,0,51.967858,2.79887,55.664581
