step,plane,m2l_count_ms,insert_ms,total_ms
0,3,12.088664000000001,0.6399020000000001,12.774134
0,2,4.780657,0.637854,5.469456
0,1,16.423305,1.167516,17.641830000000002
0,0,46.614470000000004,2.607831,49.274205
1,3,12.076792,0.642174,15.604811999999999
1,2,4.7919849999999995,0.638429,6.623625
1,1,16.40817,1.167581,18.959169
1,0,46.604869,2.608695,51.664564
2,3,12.1046,0.64195,15.599341
2,2,4.787088,0.637885,6.6117550000000005
2,1,16.41345,1.168412,18.994850000000003
2,0,46.609189,2.6085990000000003,51.662259
3,3,12.070647999999998,0.641694,15.594473
3,2,4.7885919999999995,0.6372140000000001,6.618378
3,1,16.416202000000002,1.16822,19.001185
3,0,46.585542000000004,2.605208,51.650678
4,3,12.100599,0.64179,15.608238
4,2,4.795153,0.637822,6.625833000000001
4,1,16.400426,1.169564,18.980641
4,0,46.645221,2.605655,51.706837
5,3,12.07372,0.6422380000000001,15.586412999999999
5,2,4.78584,0.63747,6.615082
5,1,16.402601999999998,1.167965,19.001504999999998
5,0,46.596069,2.604887,51.658292
6,3,12.044664000000001,0.64083,15.572910000000002
6,2,4.79208,0.637886,6.622826
6,1,16.406729,1.167452,18.976895
6,0,46.604582,2.604855,51.659061
7,3,12.110775,0.643006,15.638860000000001
7,2,4.784783999999999,0.6371180000000001,6.609449
7,1,16.410826,1.168828,19.006497
7,0,46.645542,2.606455,51.710293
8,3,12.139736000000001,0.64339,15.665676000000001
8,2,4.7876,0.637374,6.620010000000001
8,1,16.422249,1.169628,18.976544999999998
8,0,46.600902000000005,2.606583,51.650741000000004
9,3,12.11228,0.642301,15.619948
9,2,4.792592,0.637374,6.616969999999999
9,1,16.423209999999997,1.168412,19.002785
9,0,46.623877,2.60764,51.692949
