step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,interaction_sum_ms,gpu_total_ms,other_gpu_ms,host_gaps_ms
0,157.278636,56.450827,13.501138000000001,6.073114,18.931278,52.546223,147.50258,155.4186,7.916020000000003,1.860036000000008
1,156.686859,56.444618999999996,13.512529999999998,6.090587,18.923022999999997,52.51675,147.487509,155.40596599999998,7.918456999999989,1.2808930000000203
2,156.73300700000001,56.445611,13.511379000000002,6.092891,18.933101999999998,52.508366,147.491349,155.413581,7.922231999999994,1.3194260000000213
3,157.022432,56.453835,13.564691,6.09529,18.935726000000003,52.562991000000004,147.61253299999998,155.566381,7.953848000000008,1.4560510000000022
4,157.23210999999998,56.448747000000004,13.574834999999998,6.079994000000001,18.927695,52.583214999999996,147.614486,155.535695,7.921209000000005,1.6964149999999734
5,156.967638,56.447819,13.505011999999999,6.129339,18.941134,52.59825399999999,147.621558,155.53067000000001,7.909112000000022,1.436967999999979
6,157.187545,56.453131,13.520787,6.094906,18.935214,52.550062,147.5541,155.506093,7.951993000000002,1.6814520000000073
7,157.027071,56.456267,13.567345999999999,6.084859,18.990765,52.59969399999999,147.698931,155.602636,7.903705000000002,1.4244350000000168
8,156.87436300000002,56.456491,13.513875,6.097913999999999,18.938637999999997,52.538957,147.545875,155.51863699999998,7.972761999999989,1.3557260000000326
9,156.726193,56.458603000000004,13.5509,6.082618999999999,18.934126,52.539118,147.565366,155.440655,7.875288999999981,1.2855380000000025
