case,method,theta,h,t,phase_rms,phase_median,local_phase_rms,phase_p90,phase_p99,mass_profile_max_abs,energy_relative,com_drift,L_drift,runtime_to_output_s,total_runtime_s
KDK_theta0.5_d256,KDK,0.5,0.00390625,2.0,0.00028981915641305376,2.5140860372623264e-05,9.185406152747627e-05,0.00011348085227658467,0.0012875411154149785,1.0000000000001327e-05,1.1237028136449823e-07,2.667351288501174e-07,1.7016792062532334e-07,17.12238813296426,51.27672626799904
KDK_theta0.5_d256,KDK,0.5,0.00390625,4.0,0.0004820583712115953,5.8811125960579996e-05,0.00020925475936033636,0.00022770716600504254,0.0016835534383866223,1.0000000000003062e-05,1.3794465702955916e-07,4.39337501620017e-07,3.340423432660264e-07,34.18538465601159,51.27672626799904
KDK_theta0.5_d256,KDK,0.5,0.00390625,6.0,0.0006403325423272057,0.0001062557895402343,0.000377890666723388,0.00039783941059767845,0.0019418103448575294,2.0000000000006124e-05,-2.1164601669947615e-07,5.88253489179679e-07,2.376484458192973e-07,51.27672626799904,51.27672626799904
KDK_theta0.5_d32,KDK,0.5,0.03125,0.25,0.0005464240049989365,1.4866453218497757e-05,0.0008644240192633515,0.0006660243273018178,0.002452259603133005,1.9999999999999185e-05,7.3435082035958e-06,7.130889951549423e-09,2.8064115050535272e-08,0.27066045603714883,6.41999931097962
KDK_theta0.5_d32,KDK,0.5,0.03125,1.0,0.001057696694478319,3.774291170265882e-05,0.002365388522837535,0.0014606083515147652,0.004629881320412066,8.999999999999286e-05,2.224733607965177e-05,1.4906656661635827e-08,7.302254044201769e-08,1.074511272017844,6.41999931097962
KDK_theta0.5_d32,KDK,0.5,0.03125,2.0,0.0019696492191016526,8.131708792725011e-05,0.005006589337605315,0.002615489299027701,0.008553031703932313,0.00010999999999999899,1.9083252243905058e-05,1.945193620297772e-08,1.3855233472148382e-07,2.1460044470150024,6.41999931097962
KDK_theta0.5_d32,KDK,0.5,0.03125,4.0,0.005181300341360773,0.0002713056726084493,0.012660868070446418,0.006020800868117705,0.023023671374446556,0.00017000000000000348,-2.9495374652555364e-06,4.29943613621832e-08,3.220636335020361e-07,4.282685956975911,6.41999931097962
KDK_theta0.5_d32,KDK,0.5,0.03125,6.0,0.011104318824732208,0.000691482254860932,0.02521236072718967,0.012118789785949376,0.04844841341129619,0.000130000000000019,1.5259424506667063e-05,9.961098478292931e-08,2.832072819255733e-07,6.41999931097962,6.41999931097962
KDK_theta0.5_d512,KDK,0.5,0.001953125,0.25,1.2087188613600883e-05,2.61640056230091e-06,1.395245954850259e-05,1.4764061916615162e-05,5.038154295428608e-05,0.0,7.893527651400835e-08,8.062769572625872e-08,3.917758829269355e-08,4.297224409005139,102.54477239097469
KDK_theta0.5_d512,KDK,0.5,0.001953125,1.0,3.315284666130483e-05,9.471609005651265e-06,4.189319894324795e-05,4.481715140490679e-05,0.0001352548950900785,1.0000000000010001e-05,2.591131402979484e-07,3.7951326835299467e-07,1.3322551013260478e-07,17.117863969004247,102.54477239097469
KDK_theta0.5_d512,KDK,0.5,0.001953125,2.0,6.0181019620465746e-05,2.0379774548875158e-05,8.141628892742729e-05,8.290100884574197e-05,0.00023707349364590247,1.0000000000000026e-05,7.739691836659846e-08,6.442835426256378e-07,2.1242443306179474e-07,34.233547763957176,102.54477239097469
KDK_theta0.5_d512,KDK,0.5,0.001953125,4.0,0.00013056214829324357,5.1009243728343225e-05,0.00018828635794759368,0.00018246192181585745,0.0005022991806940741,1.0000000000003062e-05,7.785507131205723e-08,1.634270324752544e-06,5.283726843123097e-07,68.37235442199744,102.54477239097469
KDK_theta0.5_d512,KDK,0.5,0.001953125,6.0,0.0002366150780269518,9.541930398777644e-05,0.0003329001954493975,0.0003353887338813685,0.0008960106849184168,2.0000000000006124e-05,-1.9646871160166343e-07,2.3058405286990034e-06,5.003702589196126e-07,102.54477239097469,102.54477239097469
KDK_theta0.5_d64,KDK,0.5,0.015625,0.25,0.00010922338921338326,7.886173400997408e-06,0.0001681913622925914,0.0001256790693955558,0.0004927805360214067,0.0,2.071779205590329e-06,8.377142467548861e-09,2.9609053655929653e-08,0.5384818289894611,12.825245572021231
KDK_theta0.5_d64,KDK,0.5,0.015625,1.0,0.00023470909466775114,2.0475553783368693e-05,0.00045328424223648866,0.0003133077972817081,0.0010181473925833188,3.0000000000002247e-05,5.723818499308759e-06,2.2069850029520654e-08,7.111865741555727e-08,2.1430303850211203,12.825245572021231
KDK_theta0.5_d64,KDK,0.5,0.015625,2.0,0.00043418030661672213,4.161983266206099e-05,0.0009517412660267768,0.0005547311529102068,0.001960690816236164,3.0000000000002247e-05,2.295573786995263e-06,2.166352940510749e-08,1.3521524694563793e-07,4.282974745030515,12.825245572021231
KDK_theta0.5_d64,KDK,0.5,0.015625,4.0,0.0010057657179939703,0.0001127803766115694,0.0023143942750466985,0.0012099682716941635,0.004517663807545655,6.0000000000001025e-05,5.052988855420011e-06,2.2164954121667107e-08,3.3163233485896675e-07,8.54862357903039,12.825245572021231
KDK_theta0.5_d64,KDK,0.5,0.015625,6.0,0.0020476852960081334,0.00024260740358635004,0.004575467508767767,0.002353211938268418,0.008841577204086638,6.0000000000004494e-05,6.169175378875907e-06,1.1268140142900059e-07,2.655432720401165e-07,12.825245572021231,12.825245572021231
KDK_theta0.8_d128,KDK,0.8,0.0078125,0.25,8.27939135285225e-05,1.2126986664655554e-05,0.0001033772650058334,0.0001047314425238868,0.00034527814646674864,9.999999999999593e-06,6.255542220629873e-07,1.7216900015805277e-08,1.5444461372030044e-07,0.47594538098201156,11.338960986991879
KDK_theta0.8_d128,KDK,0.8,0.0078125,1.0,0.0002109987079653448,3.782189033799665e-05,0.00031255875628058064,0.0002635123762418008,0.0009235848881223731,1.0000000000010001e-05,9.024143341102199e-07,7.002746840645464e-08,6.387706056737781e-07,1.8998274669866078,11.338960986991879
KDK_theta0.8_d128,KDK,0.8,0.0078125,2.0,0.00037343685325655866,7.219336094821529e-05,0.0006097388434108572,0.00044285409276797035,0.0016218205386744524,3.0000000000030003e-05,-1.9906848848781188e-07,7.218473981472509e-08,1.1778913364339472e-06,3.7882216370198876,11.338960986991879
KDK_theta0.8_d128,KDK,0.8,0.0078125,4.0,0.0007578770331447572,0.00016454710055000254,0.001441395654385995,0.0008821206329206313,0.0033985976315216823,4.000000000000184e-05,-2.102224549034784e-06,5.782255342284296e-08,2.6014902097412766e-06,7.556683721020818,11.338960986991879
KDK_theta0.8_d128,KDK,0.8,0.0078125,6.0,0.001456711648565065,0.00029699677145148304,0.0030952681984700667,0.0015659112247261282,0.006263747981589504,6.999999999999975e-05,-1.611816811759087e-06,6.113112133406112e-08,3.591330086598845e-06,11.338960986991879,11.338960986991879
KDK_theta0.8_d16,KDK,0.8,0.0625,0.25,0.001809443926215385,4.215705570185041e-05,0.0029677841629199165,0.00231057617396244,0.007955733473930969,8.99999999999998e-05,2.0349779694618783e-05,2.1837557234777794e-09,1.5025843473983426e-07,0.0718148709856905,1.4422685959143564
KDK_theta0.8_d16,KDK,0.8,0.0625,1.0,0.0035636638162039763,0.00012151728629313462,0.008227407771287555,0.004813408539498854,0.015831667697860242,0.00024000000000000063,6.776725073570694e-05,5.2049664628597396e-09,6.2724865673866e-07,0.2642657269607298,1.4422685959143564
KDK_theta0.8_d16,KDK,0.8,0.0625,2.0,0.006711261074040596,0.00029661965196370603,0.017175261355859065,0.008456211402825117,0.028636733249639917,0.00041000000000000064,0.00010853882785176172,7.496166728977318e-09,1.207195255312743e-06,0.5010112089221366,1.4422685959143564
KDK_theta0.8_d16,KDK,0.8,0.0625,4.0,0.016634242262308554,0.0010009570471106836,0.040672074977663224,0.01869703907840476,0.07410715934253333,0.0002400000000000041,0.00018702020546014706,2.1063988164782407e-08,2.6720209401553316e-06,0.9713407668750733,1.4422685959143564
KDK_theta0.8_d16,KDK,0.8,0.0625,6.0,0.03236695275459954,0.0024099969642725995,0.07577965656684701,0.035488844514484266,0.1438434842375612,0.0004299999999999998,0.00024750316716577676,4.015590786237799e-08,3.660681558374828e-06,1.4422685959143564,1.4422685959143564
KDK_theta0.8_d256,KDK,0.8,0.00390625,0.25,8.500007317037826e-05,1.1491724462948801e-05,9.989167476919085e-05,0.00010228871802753922,0.0003632188023010961,9.999999999999593e-06,4.654464895504971e-07,4.087235838145957e-08,1.6091170425820192e-07,0.9503284530364908,22.667716234049294
KDK_theta0.8_d256,KDK,0.8,0.00390625,1.0,0.00022697384374259055,3.7310100394494266e-05,0.0003151080013935436,0.00025583981608289815,0.0009939075809121598,1.0000000000010001e-05,8.949418030819047e-07,2.0447960154128486e-07,6.578893162593638e-07,3.796144816034939,22.667716234049294
KDK_theta0.8_d256,KDK,0.8,0.00390625,2.0,0.00040004720393693597,7.193842032918563e-05,0.0006072246788519991,0.00043581104134247207,0.0017579665339817717,3.0000000000030003e-05,-2.508211620951789e-07,2.673391729298721e-07,1.2330450858797317e-06,7.571386185998563,22.667716234049294
KDK_theta0.8_d256,KDK,0.8,0.00390625,4.0,0.0007887078284737487,0.00016398521958826653,0.0014131261765447612,0.0008729320519992824,0.00343137399903776,3.999999999998449e-05,-1.726267905223163e-06,4.138380124996061e-07,2.735129189015334e-06,15.105440499028191,22.667716234049294
KDK_theta0.8_d256,KDK,0.8,0.00390625,6.0,0.001472987848734979,0.00029546431273747237,0.0030245059964695226,0.0015519209143147173,0.00642834721858848,8.99999999999998e-05,-9.934631470848072e-07,5.081825226729235e-07,3.685200817059491e-06,22.667716234049294,22.667716234049294
KDK_theta0.8_d32,KDK,0.8,0.03125,0.25,0.0005499934844993706,2.1143566902059466e-05,0.0008679522297799323,0.0006730023122446933,0.0024674088991489393,1.9999999999999185e-05,7.669991666226038e-06,6.100490481953896e-09,1.5068310801839903e-07,0.11882927897386253,2.8267530919983983
KDK_theta0.8_d32,KDK,0.8,0.03125,1.0,0.001057774721022289,5.8916056711314955e-05,0.002346528770943332,0.0014767367567874584,0.004599574530522743,7.999999999999674e-05,2.2861368800236888e-05,1.2889079272459982e-08,6.368956534453574e-07,0.4735262710019015,2.8267530919983983
KDK_theta0.8_d32,KDK,0.8,0.03125,2.0,0.001967716314397267,0.00012342313285262018,0.00498318508781741,0.002625772720231504,0.008474799145177885,0.00011999999999999511,1.8758207065365036e-05,1.1790148405202542e-08,1.1964541445839955e-06,0.9456701680319384,2.8267530919983983
KDK_theta0.8_d32,KDK,0.8,0.03125,4.0,0.00520965055281713,0.0003658656094314315,0.012695291274626808,0.00605826781546897,0.022949044929809707,0.0001799999999999996,-3.99323235481716e-06,1.2182022792381705e-08,2.6581018042077604e-06,1.8856192600214854,2.8267530919983983
KDK_theta0.8_d32,KDK,0.8,0.03125,6.0,0.011155457654479412,0.0008474996569707643,0.02536864873394052,0.012168321842953725,0.04876659216708682,0.00010999999999999899,1.559431118325982e-05,1.7000165594992827e-08,3.644123731663554e-06,2.8267530919983983,2.8267530919983983
KDK_theta0.8_d512,KDK,0.8,0.001953125,0.25,7.107839162302863e-05,8.265134883867465e-06,9.970906549828636e-05,7.427510376289836e-05,0.0003105352192148266,9.999999999999593e-06,4.3442273858985286e-07,8.088475837943902e-08,1.5778189924150488e-07,1.8997898669913411,45.31696970795747
KDK_theta0.8_d512,KDK,0.8,0.001953125,1.0,0.0001605786060904279,3.0165217933849098e-05,0.0003175630377919599,0.00021058742487458138,0.0006491551739739451,1.0000000000010001e-05,8.571647504350942e-07,3.7533982399452417e-07,6.841430880967901e-07,7.5887517419760115,45.31696970795747
KDK_theta0.8_d512,KDK,0.8,0.001953125,2.0,0.0002838743926548564,6.163093149460518e-05,0.0006104875110492994,0.00036750572540738635,0.0011570290710548445,3.0000000000030003e-05,-2.695734559709211e-07,6.250505344250824e-07,1.2789760198182087e-06,15.136218598985579,45.31696970795747
KDK_theta0.8_d512,KDK,0.8,0.001953125,4.0,0.0006399761336659502,0.00014849780909994984,0.00141359698627243,0.0007709140484207491,0.002752197917662441,3.999999999998449e-05,-1.6859557311537975e-06,1.5826686112412245e-06,2.6740719166791656e-06,30.196929037978407,45.31696970795747
KDK_theta0.8_d512,KDK,0.8,0.001953125,6.0,0.001351573912549681,0.00027401174414229813,0.003022176139107772,0.0014174233310301114,0.005664662116284483,8.99999999999998e-05,-8.763233176884507e-07,2.2350269421925334e-06,3.6471385033428055e-06,45.31696970795747,45.31696970795747
KDK_theta0.8_d64,KDK,0.8,0.015625,0.25,0.00012850635323310652,1.4284057418246685e-05,0.00019266876695481913,0.0001623400410008431,0.0005624548349773246,9.999999999996123e-06,2.3785085026599067e-06,8.553434619131955e-09,1.5750999772308238e-07,0.23835408804006875,5.673723706160672
KDK_theta0.8_d64,KDK,0.8,0.015625,1.0,0.00027197957162215287,4.163915364085489e-05,0.0005110670912387245,0.0003932148664310481,0.0011192611901041467,3.0000000000002247e-05,6.334386633636195e-06,2.267347595530919e-08,6.544048048499904e-07,0.9514246940379962,5.673723706160672
