step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,interaction_sum_ms,gpu_total_ms,other_gpu_ms,host_gaps_ms
0,41.020882,2.807385,13.610910000000002,2.170586,3.199319,8.16366,29.951860000000003,39.016509,9.064649,2.004373000000001
1,41.092447,2.812216,13.173983,2.171706,3.2054009999999997,8.167086,29.530392,38.633216999999995,9.102824999999996,2.459230000000005
2,40.02619,2.8014650000000003,13.268700999999998,2.173658,3.202583,8.176395,29.622802,38.702046,9.079244000000003,1.3241439999999969
3,40.60733999999999,2.808281,13.538333,2.172859,3.2075440000000004,8.164044,29.891061,39.25667,9.365609,1.3506699999999938
4,40.27428,2.809753,13.236193,2.1763779999999997,3.204569,8.163146,29.590039,38.786849000000004,9.196810000000003,1.4874309999999937
5,40.282235,2.8076410000000003,13.255484999999998,2.1714520000000004,3.2040569999999997,8.169835,29.60847,38.701505,9.093034999999993,1.5807300000000026
6,40.125237999999996,2.815353,13.191199000000001,2.172378,3.2060710000000006,8.168236,29.553237000000003,38.693597000000004,9.140360000000001,1.431640999999992
7,39.961629,2.808025,13.22371,2.1724430000000003,3.202744,8.183434,29.590356,38.671162,9.080806000000003,1.2904669999999996
8,40.022624,2.806393,13.250655,2.174427,3.201752,8.165644,29.598871,38.674015,9.075143999999998,1.3486090000000033
9,40.002656,2.807225,13.23091,2.1727290000000004,3.20092,8.165579,29.577363,38.672636,9.095272999999995,1.3300200000000046
