step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,interaction_sum_ms,gpu_total_ms,other_gpu_ms,host_gaps_ms
0,125.168808,23.548453000000002,14.489405000000001,6.434319,19.376623,50.791936,114.640736,122.505035,7.864299000000003,2.663772999999992
1,124.564054,23.951844,14.449468,6.031473,19.533103,51.258815999999996,115.224704,123.08356500000001,7.8588610000000045,1.4804889999999915
2,124.45795299999999,22.919591,14.610365,6.071185,19.446544000000003,50.81539299999999,113.86307799999999,122.192049,8.32897100000001,2.265903999999992
3,124.600552,24.207459,14.475387000000001,6.0318890000000005,19.426991,50.905057,115.046783,122.974986,7.928202999999996,1.625565999999992
4,124.27775299999999,23.101637999999998,14.611451,6.025937,19.529328,50.24093,113.509284,122.65127900000002,9.141995000000023,1.6264739999999733
5,125.33337900000001,24.021155999999998,13.779388999999998,6.030609,19.397199999999998,50.880577,114.10893099999998,121.995243,7.886312000000004,3.3381360000000058
6,124.21303900000001,23.113543,14.431036,6.024209,19.112338,49.94906,112.63018600000001,122.415985,9.785799000000011,1.7970540000000028
7,119.76338700000001,21.809641,13.743903,6.90379,19.571025000000002,47.426826,109.455185,118.135035,8.679850000000002,1.6283520000000067
8,115.639496,21.816873,13.391646000000001,6.021073,18.262415,47.004362,106.496369,114.321409,7.825040000000001,1.3180869999999913
9,115.749284,21.809577,13.339775,6.022034,18.269137000000004,47.00298600000001,106.44350900000002,114.336194,7.892684999999986,1.4130899999999968
