step,plane,m2l_count_ms,insert_ms,total_ms
0,3,13.375231,0.685823,14.489405000000001
0,2,5.344274,0.651966,6.434319
0,1,17.72034,1.205693,19.376623
0,0,47.493417,2.405178,50.791936
1,3,12.24781,0.6855990000000001,14.449468
1,2,4.947443,0.651166,6.031473
1,1,17.876243,1.205597,19.533103
1,0,47.565545,2.795897,51.258815999999996
2,3,13.496542,0.6854389999999999,14.610365
2,2,4.948276,0.651006,6.071185
2,1,17.790452000000002,1.205341,19.446544000000003
2,0,47.516265,2.403994,50.81539299999999
3,3,12.228769,0.685342,14.475387000000001
3,2,4.945876,0.6524139999999999,6.0318890000000005
3,1,17.770164,1.2048599999999998,19.426991
3,0,47.604553,2.40409,50.905057
4,3,13.497118,0.68563,14.611451
4,2,4.94066,0.6506219999999999,6.025937
4,1,17.875348000000002,1.202077,19.529328
4,0,46.941419,2.40521,50.24093
5,3,12.657536,0.686558,13.779388999999998
5,2,4.945684,0.651774,6.030609
5,1,17.741619999999998,1.203485,19.397199999999998
5,0,47.580713,2.402362,50.880577
6,3,13.317503,0.685631,14.431036
6,2,4.934835,0.652126,6.024209
6,1,17.456341000000002,1.204862,19.112338
6,0,46.64862,2.404538,49.94906
7,3,12.220674,0.687519,13.743903
7,2,5.817777,0.651774,6.90379
7,1,17.914292,1.205245,19.571025000000002
7,0,44.124338,2.40473,47.426826
8,3,12.275713,0.68771,13.391646000000001
8,2,4.935188,0.651486,6.021073
8,1,16.603830000000002,1.2071010000000002,18.262415
8,0,43.697235,2.4100740000000003,47.004362
9,3,12.225857,0.6849270000000001,13.339775
9,2,4.936468,0.651614,6.022034
9,1,16.612022,1.206173,18.269137000000004
9,0,43.699059,2.40793,47.00298600000001
